serial,serial_norm,color,last_seen,stockout_date,reorder_date,last_ship_date,cycle_id,points_used,slope_pct_per_day,level_now_pct,days_left_est,offset_days,should_order_now,slope_7d,slope_14d,slope_30d,var_14d,cycle_age_days,points_in_cycle,days_since_reset,pct,mean_ship_interval,n_ships_180d,err_days
35N00727,35N00727,black,2025-03-03,2025-03-03,2025-03-03,2024-10-08,3,31,-0.2738,4.0,0.0,0,True,-0.42857142857142855,-0.6428571428571429,-0.896551724137931,0.5549450549450599,110,109,110.0,15,54.333333333333336,5.0,46.0
35N00727,35N00727,black,2025-06-16,2025-06-16,2025-06-16,2024-10-08,4,31,-1.3286,5.0,0.0,0,True,-0.42857142857142855,-0.6428571428571429,-0.896551724137931,0.5549450549450599,110,109,110.0,15,54.333333333333336,5.0,84.0
35N00727,35N00727,black,2025-06-16,2025-06-16,2025-06-16,2024-10-08,4,31,-1.3286,5.0,0.0,0,True,-0.42857142857142855,-0.6428571428571429,-0.896551724137931,0.5549450549450599,110,109,110.0,15,54.333333333333336,5.0,46.0
35N00727,35N00727,black,2025-10-05,2025-10-09,2025-10-09,2024-10-08,5,29,-1.2427,15.0,4.0,0,True,-0.42857142857142855,-0.6428571428571429,-0.896551724137931,0.5549450549450599,110,109,110.0,15,54.333333333333336,5.0,84.0
35N00727,35N00727,black,2025-10-05,2025-10-09,2025-10-09,2024-10-08,5,29,-1.2427,15.0,4.0,0,True,-0.42857142857142855,-0.6428571428571429,-0.896551724137931,0.5549450549450599,110,109,110.0,15,54.333333333333336,5.0,46.0
35N00727,35N00727,yellow,2023-09-08,,,2024-10-08,0,2,,0.0,,-11,False,-0.42857142857142855,-0.6428571428571429,-0.6551724137931034,0.8626373626375657,75,74,75.0,54,108.66666666666667,3.0,107.0
35N00727,35N00727,yellow,2023-09-08,,,2024-10-08,0,2,,0.0,,-11,False,-0.42857142857142855,-0.6428571428571429,-0.6551724137931034,0.8626373626375657,75,74,75.0,54,108.66666666666667,3.0,94.0
35N00727,35N00727,yellow,2024-01-18,2024-01-18,2024-01-29,2024-10-08,1,44,-0.5576,1.0,0.0,-11,False,-0.42857142857142855,-0.6428571428571429,-0.6551724137931034,0.8626373626375657,75,74,75.0,54,108.66666666666667,3.0,107.0
35N00727,35N00727,yellow,2024-01-18,2024-01-18,2024-01-29,2024-10-08,1,44,-0.5576,1.0,0.0,-11,False,-0.42857142857142855,-0.6428571428571429,-0.6551724137931034,0.8626373626375657,75,74,75.0,54,108.66666666666667,3.0,94.0
35N00727,35N00727,yellow,2024-06-12,2024-06-25,2024-07-06,2024-10-08,2,31,-0.3794,15.0,13.2,-11,False,-0.42857142857142855,-0.6428571428571429,-0.6551724137931034,0.8626373626375657,75,74,75.0,54,108.66666666666667,3.0,107.0
35N00727,35N00727,yellow,2024-06-12,2024-06-25,2024-07-06,2024-10-08,2,31,-0.3794,15.0,13.2,-11,False,-0.42857142857142855,-0.6428571428571429,-0.6551724137931034,0.8626373626375657,75,74,75.0,54,108.66666666666667,3.0,94.0
35N00727,35N00727,yellow,2025-03-13,2025-03-13,2025-03-24,2024-10-08,3,31,-0.5181,1.0,0.0,-11,False,-0.42857142857142855,-0.6428571428571429,-0.6551724137931034,0.8626373626375657,75,74,75.0,54,108.66666666666667,3.0,107.0
35N00727,35N00727,yellow,2025-03-13,2025-03-13,2025-03-24,2024-10-08,3,31,-0.5181,1.0,0.0,-11,False,-0.42857142857142855,-0.6428571428571429,-0.6551724137931034,0.8626373626375657,75,74,75.0,54,108.66666666666667,3.0,94.0
35N00727,35N00727,yellow,2025-07-21,2025-07-21,2025-08-01,2024-10-08,4,31,-0.9851,1.0,0.0,-11,False,-0.42857142857142855,-0.6428571428571429,-0.6551724137931034,0.8626373626375657,75,74,75.0,54,108.66666666666667,3.0,107.0
35N00727,35N00727,yellow,2025-07-21,2025-07-21,2025-08-01,2024-10-08,4,31,-0.9851,1.0,0.0,-11,False,-0.42857142857142855,-0.6428571428571429,-0.6551724137931034,0.8626373626375657,75,74,75.0,54,108.66666666666667,3.0,94.0
35N00727,35N00727,yellow,2025-10-05,2025-11-23,2025-12-04,2024-10-08,5,29,-0.8847,54.0,49.7,-11,False,-0.42857142857142855,-0.6428571428571429,-0.6551724137931034,0.8626373626375657,75,74,75.0,54,108.66666666666667,3.0,107.0
35N00727,35N00727,yellow,2025-10-05,2025-11-23,2025-12-04,2024-10-08,5,29,-0.8847,54.0,49.7,-11,False,-0.42857142857142855,-0.6428571428571429,-0.6551724137931034,0.8626373626375657,75,74,75.0,54,108.66666666666667,3.0,94.0
35N00735,35N00735,black,2023-09-08,,,2025-02-17,0,2,,0.0,,0,False,0.0,0.0,0.0,0.0,261,257,261.0,1,92.75,4.0,61.0
35N00735,35N00735,black,2023-09-08,,,2025-02-17,0,2,,0.0,,0,False,0.0,0.0,0.0,0.0,261,257,261.0,1,92.75,4.0,-39.0
35N00735,35N00735,black,2023-09-08,,,2025-02-17,0,2,,0.0,,0,False,0.0,0.0,0.0,0.0,261,257,261.0,1,92.75,4.0,110.0
35N00735,35N00735,black,2023-09-08,,,2025-02-17,0,2,,0.0,,0,False,0.0,0.0,0.0,0.0,261,257,261.0,1,92.75,4.0,35.0
35N00735,35N00735,black,2023-09-08,,,2025-02-17,0,2,,0.0,,0,False,0.0,0.0,0.0,0.0,261,257,261.0,1,92.75,4.0,32.0
35N00735,35N00735,black,2023-12-13,2023-12-13,2023-12-13,2025-02-17,1,48,-1.4703,0.0,0.0,0,True,0.0,0.0,0.0,0.0,261,257,261.0,1,92.75,4.0,61.0
35N00735,35N00735,black,2023-12-13,2023-12-13,2023-12-13,2025-02-17,1,48,-1.4703,0.0,0.0,0,True,0.0,0.0,0.0,0.0,261,257,261.0,1,92.75,4.0,-39.0
