date_reco;serial;client;contrat;type_livraison;client_code;modele_machine;marque;couleur;toner;ville;code_postal;jours_avant_rupture;date_rupture_estimee;priorite;commentaire
2026-02-19;XAUV005830;;CT003507;contrat_maintenance;;;;yellow;yellow;;;0;2025-02-06;1;Risque de rupture imminent
2026-02-19;XAUV005831;;;commande_simple;;;;black;black;;;0;2025-09-02;1;Risque de rupture imminent
2026-02-19;XAUV005831;;CT003506;contrat_maintenance;;;;black;black;;;0;2025-09-02;1;Risque de rupture imminent
2026-02-19;XAUV005831;;;commande_simple;;;;magenta;magenta;;;0;2025-02-06;1;Risque de rupture imminent
2026-02-19;XAUV005831;;CT003506;contrat_maintenance;;;;magenta;magenta;;;0;2025-02-06;1;Risque de rupture imminent
2026-02-19;XAUV005918;;CT003756;contrat_maintenance;;;;yellow;yellow;;;0;2026-02-15;1;Risque de rupture imminent
2026-02-19;XAUV005947;;;commande_simple;;;;magenta;magenta;;;0;2026-02-17;1;Risque de rupture imminent
2026-02-19;XAUV005947;;CT003067;contrat_maintenance;;;;magenta;magenta;;;0;2026-02-17;1;Risque de rupture imminent
2026-02-19;XAUV006175;;;commande_simple;;;;black;black;;;0;2026-01-03;1;Risque de rupture imminent
2026-02-19;XAUV006175;;CT003401;contrat_maintenance;;;;black;black;;;0;2026-01-03;1;Risque de rupture imminent
2026-02-19;XAUV006175;;;commande_simple;;;;cyan;cyan;;;0;2025-10-24;1;Risque de rupture imminent
2026-02-19;XAUV006175;;CT003401;contrat_maintenance;;;;cyan;cyan;;;0;2025-10-24;1;Risque de rupture imminent
2026-02-19;XAUV006175;;;commande_simple;;;;magenta;magenta;;;0;2026-02-15;1;Risque de rupture imminent
2026-02-19;XAUV006175;;CT003401;contrat_maintenance;;;;magenta;magenta;;;0;2026-02-15;1;Risque de rupture imminent
2026-02-19;XAUV006210;;;commande_simple;;;;black;black;;;0;2025-11-28;1;Risque de rupture imminent
2026-02-19;XAUV006210;;CT003440;contrat_maintenance;;;;black;black;;;0;2025-11-28;1;Risque de rupture imminent
2026-02-19;XAUV006210;;;commande_simple;;;;cyan;cyan;;;0;2025-05-12;1;Risque de rupture imminent
2026-02-19;XAUV006210;;CT003440;contrat_maintenance;;;;cyan;cyan;;;0;2025-05-12;1;Risque de rupture imminent
2026-02-19;XAUV006210;;;commande_simple;;;;magenta;magenta;;;0;2025-06-15;1;Risque de rupture imminent
2026-02-19;XAUV006210;;CT003440;contrat_maintenance;;;;magenta;magenta;;;0;2025-06-15;1;Risque de rupture imminent
2026-02-19;XAUV006210;;;commande_simple;;;;yellow;yellow;;;0;2025-05-12;1;Risque de rupture imminent
2026-02-19;XAUV006210;;CT003440;contrat_maintenance;;;;yellow;yellow;;;0;2025-05-12;1;Risque de rupture imminent
2026-02-19;XAUV006255;;;commande_simple;;;;cyan;cyan;;;0;2026-02-15;1;Risque de rupture imminent
2026-02-19;XAUV006255;;CT003436;contrat_maintenance;;;;cyan;cyan;;;0;2026-02-15;1;Risque de rupture imminent
2026-02-19;XAUV006255;;;commande_simple;;;;magenta;magenta;;;0;2026-02-14;1;Risque de rupture imminent
2026-02-19;XAUV006255;;CT003436;contrat_maintenance;;;;magenta;magenta;;;0;2026-02-14;1;Risque de rupture imminent
2026-02-19;XAUV006255;;;commande_simple;;;;yellow;yellow;;;0;2026-02-15;1;Risque de rupture imminent
2026-02-19;XAUV006255;;CT003436;contrat_maintenance;;;;yellow;yellow;;;0;2026-02-15;1;Risque de rupture imminent
2026-02-19;XAUV006361;;;commande_simple;;;;cyan;cyan;;;0;2026-02-17;1;Risque de rupture imminent
2026-02-19;XAUV006361;;CT003721;contrat_maintenance;;;;cyan;cyan;;;0;2026-02-17;1;Risque de rupture imminent
2026-02-19;XAUV006444;;CT003072;contrat_maintenance;;;;black;black;;;0;2026-02-17;1;Risque de rupture imminent
2026-02-19;XAUV007459;;;commande_simple;;;;black;black;;;0;2025-08-09;1;Risque de rupture imminent
2026-02-19;XAUV007459;;CT003361;contrat_maintenance;;;;black;black;;;0;2025-08-09;1;Risque de rupture imminent
2026-02-19;XAUV007459;;;commande_simple;;;;yellow;yellow;;;0;2025-11-27;1;Risque de rupture imminent
2026-02-19;XAUV007459;;CT003361;contrat_maintenance;;;;yellow;yellow;;;0;2025-11-27;1;Risque de rupture imminent
2026-02-19;XAUV007708;;CT003193;contrat_maintenance;;;;magenta;magenta;;;0;2026-02-16;1;Risque de rupture imminent
2026-02-19;XAUV007757;;CT003119;contrat_maintenance;;;;yellow;yellow;;;0;2026-02-16;1;Risque de rupture imminent
2026-02-19;XAUV011428;;;commande_simple;;;;cyan;cyan;;;0;2026-02-14;1;Risque de rupture imminent
2026-02-19;XAUV011428;;;commande_simple;;;;magenta;magenta;;;0;2026-02-16;1;Risque de rupture imminent
2026-02-19;XAUV011796;;;commande_simple;;;;yellow;yellow;;;0;2026-02-16;1;Risque de rupture imminent
2026-02-19;XAUV011796;;CT004165;contrat_maintenance;;;;yellow;yellow;;;0;2026-02-16;1;Risque de rupture imminent
2026-02-19;XAUV011797;;;commande_simple;;;;yellow;yellow;;;0;2026-02-15;1;Risque de rupture imminent
2026-02-19;XAUV011797;;CT003888;contrat_maintenance;;;;yellow;yellow;;;0;2026-02-15;1;Risque de rupture imminent
2026-02-19;XAUV013074;;;commande_simple;;;;yellow;yellow;;;0;2026-01-22;1;Risque de rupture imminent
