serial;serial_norm;relation_type;color;cycle_id;points_used;slope_pct_per_day;level_now_pct;days_left_est;last_seen;stockout_date;offset_days;reorder_date;should_order_now;rs_n_cycles;rs_mean_cycle_len_days;rs_max_cycle_len_days;rs_last_seen;rs_last_reset;rs_days_since_last_reset;rs_has_reset;us_mean_daily_pct_drop;us_median_daily_pct_drop;us_peak_daily_pct_drop;us_mean_pct_drop_per_cycle;us_has_usage_data;m_total_pages;m_n_records;m_ratio_color;m_ratio_a3;m_daily_mean;m_daily_std;m_total_pages_last30;m_total_pages_last7;month;dayofweek;week;ml_offset_days_v21;last_seen_dt;stockout_date_ml_v21;days_left_ml_v21;reference_date;days_left_v21
$X74R003821$;$X74R003821$;contrat_adex;yellow;1;126;-0.1694;8.0;47.2;2025-09-12 17:02:00;2025-10-29;-11;2025-11-09;False;2;463.0;845;2025-09-12 17:02:00;2023-05-22 14:35:00;844.0;1;0.45955988455988456;0.0;10.0;66.0;1.0;;;;;;;;;9;4;37;-10.711154;2025-09-12 17:02:00;2025-10-18 06:55:56.295776370;35.0;2025-09-12 17:02:00;0.0
$X75G003015$;$X75G003015$;contrat_adex;black;2;31;-1.3226;1.0;0.8;2025-12-30 14:34:00;2025-12-31;0;2025-12-31;True;3;112.33333333333333;142;2025-12-30 14:34:00;2025-10-16 14:34:00;75.0;1;0.8888888888888888;0.0;9.0;99.0;1.0;;;;;;;;;12;1;1;-0.7899251;2025-12-30 14:34:00;2025-12-30 05:02:30.471496582;0.0;2025-12-30 14:34:00;0.0
$X75G003015$;$X75G003015$;contrat_adex;magenta;2;31;-1.0669;6.0;5.6;2025-12-30 14:34:00;2026-01-05;-8;2026-01-13;False;3;112.33333333333333;161;2025-12-30 14:34:00;2025-10-01 14:34:00;90.0;1;0.8626543209876543;0.0;9.0;95.66666666666667;1.0;;;;;;;;;12;1;1;-7.0007386;2025-12-30 14:34:00;2025-12-28 23:58:56.183166501;0.0;2025-12-30 14:34:00;0.0
$XAUV000003$;$XAUV000003$;contrat_adex;yellow;0;247;-0.1318;6.0;45.5;2025-05-20 17:43:00;2025-07-05;-11;2025-07-16;False;1;397.0;397;2025-05-20 17:43:00;;;0;0.2334295201201676;0.0;2.0;64.0;1.0;;;;;;;;;5;1;21;0.9656601;2025-05-20 17:43:00;2025-07-05 23:10:33.032226558;46.0;2025-05-20 17:43:00;0.0
$XAUV000031$;$XAUV000031$;contrat_adex;black;6;31;-2.5113;11.0;4.4;2025-12-30 14:33:00;2026-01-03;0;2026-01-03;True;7;111.0;230;2025-12-30 14:33:00;2025-11-22 14:33:00;38.0;1;0.8942969518190758;0.0;27.0;85.85714285714286;1.0;;;;;;;;;12;1;1;-0.06686841;2025-12-30 14:33:00;2026-01-02 22:23:42.569417956;3.0;2025-12-30 14:33:00;2.0
$XAUV000031$;$XAUV000031$;contrat_adex;magenta;2;31;-0.4734;8.0;16.9;2025-12-30 14:33:00;2026-01-16;-8;2026-01-24;False;3;259.0;315;2025-12-30 14:33:00;2025-05-21 14:33:00;223.0;1;0.39604685212298685;0.0;22.0;93.33333333333333;1.0;;;;;;;;;12;1;1;-6.832518;2025-12-30 14:33:00;2026-01-09 04:01:10.436096194;9.0;2025-12-30 14:33:00;9.0
$XAUV000033$;$XAUV000033$;contrat_adex;black;0;219;-0.5714;60.0;105.0;2025-06-23 09:45:00;2025-10-06;0;2025-10-06;False;1;73.0;73;2025-06-23 09:45:00;;;0;0.5755555555555555;0.0;3.0;35.0;1.0;;;;;;;;;6;0;26;-2.5889964;2025-06-23 09:45:00;2025-10-03 09:51:50.710144041;102.0;2025-06-23 09:45:00;0.0
$XAUV000033$;$XAUV000033$;contrat_adex;yellow;0;219;-0.2498;41.0;164.1;2025-06-23 09:45:00;2025-12-04;-11;2025-12-15;False;1;73.0;73;2025-06-23 09:45:00;;;0;0.32666666666666666;0.0;4.0;21.0;1.0;;;;;;;;;6;0;26;-10.915239;2025-06-23 09:45:00;2025-11-23 02:02:03.321533208;152.0;2025-06-23 09:45:00;0.0
$XAUV000300$;$XAUV000300$;contrat_adex;black;3;580;-1.5723;42.0;26.7;2024-06-25 13:04:00;2024-07-22;0;2024-07-22;False;4;52.75;84;2024-06-25 13:04:00;2024-05-22 14:34:00;33.0;1;1.6510582010582011;1.0;8.0;63.75;1.0;;;;;;;;;6;1;26;-0.2593637;2024-06-25 13:04:00;2024-07-21 17:46:30.975379943;26.0;2024-06-25 13:04:00;0.0
$XAUV000300$;$XAUV000300$;contrat_adex;cyan;2;577;-0.6606;82.0;124.1;2024-06-25 13:04:00;2024-10-27;1;2024-10-26;False;3;70.33333333333333;176;2024-06-25 13:04:00;2024-05-30 14:34:00;25.0;1;0.6968503937007874;1.0;5.0;39.0;1.0;;;;;;;;;6;1;26;-0.12539794;2024-06-25 13:04:00;2024-10-26 20:59:25.618371962;123.0;2024-06-25 13:04:00;0.0
